Elemento,Descripcion,Banco
"Vinolia
50% de dcto. todos los viernes.
Metropolitana","50% de dcto. todos los viernes.
Propuesta gastronómica innovadora, que combina sabores sorprendentes con una cuidada selección de coctelería, vinos y destilados.
Recuerda que:
Exclusivo con tus Nuevas Tarjetas de Crédito Santander American Express.
Válido para consumo en local.
Alonso de Monroy 2869, Vitacura.
El descuento no aplica en tienda ni botellas.
Tope de descuento de $50.000.
No acumulable a otras promociones.
Se excluyen propinas, menús, happy hours.
Vigencia: Desde el 01 al 31 de mayo de 2025.",Santander
"Forastero
3 a 12 cuotas sin interés.","3 a 12 cuotas sin interés.
Ambientes que conmueven, inspiran y conectan.
Recuerda que:
Exclusivo pagando con tus Tarjetas de Crédito Santander.
Válido en tiendas presenciales y www.forastero.life
CAE 1,46% Calculado por un monto referencial de compra de $1.000.000 en 12 cuotas. Costo total del Crédito: $1.007.920. Operación afecta a impuesto al crédito a cargo del cliente.
Vigencia: Desde el 01 al 31 de marzo de 2025.",Santander
"Amoblé
3 a 12 cuotas sin interés.","3 a 12 cuotas sin interés.
Crea tus espacios un lugar distinto y especial para disfrutar la vida.
Recuerda que:
Exclusivo pagando con tus Tarjetas de Crédito Santander.
Válido en tiendas presenciales y www.amoble.cl
CAE 1,46% Calculado por un monto referencial de compra de $1.000.000 en 12 cuotas. Costo total del Crédito: $1.007.920. Operación afecta a impuesto al crédito a cargo del cliente.
Vigencia: Desde el 01 al 31 de marzo de 2025.",Santander
"Copec Flux
3 a 36 cuotas sin interés.","3 a 36 cuotas sin interés.
Súmate a la energía solar y reduce tu cuenta de electricidad con paneles solares.
Recuerda que:
Exclusivo pagando con tus Tarjetas de Crédito Santander.
Es válido en online en www.copecflux.cl
Exclusivo en paneles solares.
CAE 1,53% Calculado por un monto referencial de compra de $1.000.000 en 36 cuotas. Costo total del Crédito: $1.023.760. Operación afecta a impuesto al crédito a cargo del cliente.
Vigencia: Desde el 01 al 31 de marzo de 2025.",Santander
"Gracielo Bar
40% de dcto. todos los miércoles.
Metropolitana","40% de dcto. todos los miércoles.
Carta variada con opciones vegetarianas y coctelería del autor
Recuerda que:
Exclusivo con tus Tarjetas de Crédito Santander.
Válido para consumo en local.
Cirujano Guzmán 194, Providencia.
No acumulable a otras promociones.
Pide tu descuento al momento de pagar.
Descuento máximo por pedido de $40.000.
Se excluyen propinas, menús, happy hours.
Vigencia: Desde el 01 al 31 de marzo de 2025.",Santander
"Madero Lounge
40% de dcto. todos los miércoles.
Bío-Bío","40% de dcto. todos los miércoles.
Ambiente relajado y tragos de autor
Recuerda que:
Exclusivo con tus Tarjetas de Crédito Santander.
Válido para consumo en local.
Pedro de Valdivia 1317, Concepción.
No acumulable a otras promociones.
Pide tu descuento al momento de pagar.
Descuento máximo por pedido de $40.000.
Se excluyen propinas, menús, happy hours.
Vigencia: Desde el 01 al 31 de marzo de 2025.",Santander
"Sunthai
40% de dcto. todos los miércoles.
Antofagasta","40% de dcto. todos los miércoles.
Comida asiática.
Recuerda que:
Exclusivo con tus Tarjetas de Crédito Santander.
Válido para consumo en local, retiro en local y delivery.
Angamos 152, Antofagasta.
No acumulable a otras promociones.
Pide tu descuento al momento de pagar.
Para compras online ingresa los 6 primeros dígitos de tu tarjeta como código de descuento.
Descuento máximo por pedido de $40.000.
Se excluyen propinas, menús, happy hours.
Vigencia: Desde el 01 al 31 de marzo de 2025.",Santander
"One Video
20% de dcto. todos los días.","20% de dcto. todos los días.
Video Commerce que conecta los videos de tu marca con tus productos.
Beneficio Santander Empresas:
Exclusivo con tus Tarjetas de Crédito Santander Empresas.
Válido en www.onevideo.cl
Código: VideoCommerceSantander
Durante el proceso de venta se solicitarán los 6 primeros dígitos de tu Tarjeta de Crédito Santander Empresa como código de descuento.
Vigencia: Desde el 01 al 31 de marzo de 2025.",Santander
"Poliglota
Hasta un 75% de dcto. todos los días.","Hasta un 75% de dcto. todos los días.
Plataforma con método ideal para aprender y practicar idiomas en grupos de conversación.
Recuerda:
Exclusivo pagando con tus Tarjetas de Crédito y Débito Santander.
Válido en www.poliglota.org
59% dcto. en plan de 6 meses.
68% dcto. en plan de 12 meses.
75% dcto. en plan de 18 meses.
Ingresa los 6 primeros dígitos de tu Tarjeta como código de descuento.
No acumulable con otras promociones.
Vigencia: Desde el 01 al 31 de marzo de 2025.",Santander
"Flores
20% de dcto. todos los martes y viernes.","20% de dcto. todos los martes y viernes.
Ultima tendencia en lencería
Recuerda:
Exclusivo pagando con tus Tarjetas de Crédito y Débito Santander.
Válido en tiendas y www.tiendaflores.cl
Ingresa los 6 primeros dígitos de tu Tarjeta como código de descuento.
No acumulable con otras promociones.
Vigencia: Desde el 01 al 31 de marzo de 2025.",Santander
"Privilege
20% de dcto todos los lunes.","20% de dcto todos los lunes.
Vestuario y accesorios femeninos
Recuerda:
Exclusivo pagando con tus Tarjetas de Crédito y Débito Santander.
Válido en tiendas y www.privilege.cl
Excluye outlets.
Ingresa los 6 primeros dígitos de tu Tarjeta como código de descuento.
No acumulable con otras promociones.
Vigencia: Desde el 01 al 31 de marzo de 2025.",Santander
"Zenit
30% de dcto. todos los días.","30% de dcto. todos los días.
Maletas, mochilas y accesorios de viaje
Recuerda:
Exclusivo pagando con tus Tarjetas de Crédito y Débito Santander.
Válido en www.zenitchile.com
Ingresa los 6 primeros dígitos de tu Tarjeta como código de descuento.
No acumulable con otras promociones.

Vigencia: Desde el 01 al 31 de marzo de 2025",Santander
"Duoc UC
3 a 6 cuotas sin interés","3 a 6 cuotas sin interés
Estudia la carrera que siempre quisiste
Recuerda que:
Exclusivo pagando con tus Tarjetas de Crédito Santander.
Válido en presencial y www.duoc.cl
Válido en Educación continua.
CAE 1,36% Calculado por un monto referencial de compra de $1.000.000 en 6 cuotas. Costo total del Crédito: $1.003.960. Operación afecta a impuesto al crédito a cargo del cliente.
Vigencia: Hasta el 31 de marzo de 2025",Santander
"Centro de montaña La Parva
15% dcto. todos los días","15% dcto. todos los días
Aprovecha del Bikepark en La Parva
Recuerda que:
Exclusivo pagando con tus Tarjetas de Crédito Santander Visa.
Válido para presencial en boletería y www.laparva.cl
Exclusivo en la compra de tickets diarios.
El descuento no aplica sobre el precio de la Tarjeta Parvapass (costo: $3.000 CLP en verano).
Es necesario tener Parvapass para poder comprar productos de tickets diarios en el Centro de montaña La Parva.
Ingresa los 6 primeros dígitos de tu Tarjeta como código de descuento
No acumulable con otras promociones.
Vigencia: Hasta el 31 de marzo de 2025.",Santander
"Centro de montaña Pillán
20% dcto. los viernes","20% dcto. los viernes
Disfruta del Bikepark en Pillán
Recuerda que:
Exclusivo pagando con tus Tarjetas de Crédito Santander Visa.
Válido para presencial en boletería y www.centropillan.cl
Exclusivo en Silla Panorámica, Trekking Guiado, Mountain Cart, Ascenso Biker.
No aplica a experiencia sunset, cuponera biker y ascenso y descenso al volcán.
Ingresa los 6 primeros dígitos de tu Tarjeta como código de descuento
No acumulable con otras promociones.
Vigencia: Hasta el 31 de marzo de 2025.",Santander
