Elemento,Descripcion,Banco
Maicao,"40% de Descuento en todos los medicamentos, vitaminas y minerales los lunes y viernes
30% de Descuento en medicamentos Bioequivalentes los martes, miércoles y jueves
20% de descuento todos los días en higiene infantil, higiene bucal y desodorantes corporales en marcas (Axe, Dove, Rexona Clinical, Nivea, Speedstick, Lady Speed Stick, Squafresh, Colgate, Aquafresh, Family Set, Listerine, Oralfresh y Sensoydne).
No acumulable con otros descuentos o promociones.
Excluye categoría belleza.
Válido en la fecha de la promoción..
Productos sujetos a reposición.
Donde
Promoción exclusiva en locales presenciales Maicao, mencionando el descuento al momento de pagar con tus Tarjetas BancoEstado.

Aplica
Comprando con Tarjetas de Crédito, Débito BancoEstado o BE Pay.

Vigencia
Válido desde el 17 de febrero al 31 de marzo del 2025 o hasta agotar fondos de la promoción.",BancoEstado
GameClub,"30% de descuento en:

Pases de horas de juego.
Salas Pro y Sim Racing.
Entradas a eventos y torneos.
Condiciones
Para hacer válido el descuento debes dirigirte a las tiendas de Movistar GameClub en Mallplaza Vespucio, Norte o Trébol en donde al momento de pagar, debes mencionar el descuento BancoEstado y pagar con tu Tarjeta Débito o Crédito BancoEstado.

En  ingresando los 6 primeros números de tu Tarjeta BancoEstado.

La promoción no es válida en combinación con otras ofertas, descuentos, promociones, cupones ni paquetes promocionales y no aplica sobre promociones preexistentes.
Aplica con
Tarjeta de Débito o Crédito BancoEstado.

 

Vigencia
 Vigencia desde el 01 de febrero hasta el 31 de diciembre del 2025. ",BancoEstado
Apprecio.com,"Apprecio.com
Detalle
Al contratar tu Seguro de Incendio Hogar desde el  01 de enero hasta el 31 de marzo de 2025, recibirás una Gift Card de $30.000 para usar en tiendas online a través de 

Condiciones
Para obtener tu Gift Card de $30.000 deberás  registrar una Tarjeta de Crédito al contratar tu Seguro de Incendio Hogar. 


Válido solamente para RUT de persona natural. 
Que se trate de propiedades a asegurar por primera vez con la intermediación de BancoEstado Corredores de Seguros.
Que la propiedad a asegurar sea de uso particular o comercial y que tenga máximo 60 años de antigüedad.
Aplica con
Tarjetas de Crédito y Débito BancoEstado.

Vigencia
Válido desde 01 de enero hasta el 31 de marzo de 2025.",BancoEstado
Escolaridad,"6 a 12 cuotas sin interés en matrículas y gastos de escolaridad en jardines, colegios, centros educacionales y universidades.

Aplica con
Por ejemplo, si pagas $1.000.000 en 12 cuotas de $83.333. CAE 1,48% y Costo total del Crédito: $1.007.996.

Vigencia
Vigencia desde el 06 al 31 de marzo del 2025, ambas fechas inclusive.
----------------------------------------------------------
----------------------------------------------------------

Beneficios Banco Estado 5
JetSmart
Detalle
Obtén 6 o 12 cuotas sin interés en los pasajes a tus destinos turísticos preferidos, válido para Chile y Sudamérica.

Donde
Exclusivo en 
Selecciona la pestaña Clientes BancoEstado, “Iniciar Sesión” ingresando tu RUT podrás disfrutar de los beneficios.

Condiciones
Tarjetas de Crédito BancoEstado.
Por ejemplo, si pagas $1.000.000 en 6 cuotas. Valor cuota $166.667, CAE 1,59%, CTC $1.004.622

Vigencia
Válido desde el 01 de enero hasta el 31 de diciembre de 2025.",BancoEstado
JuanMaestro,"30% de descuento todos los martes en tiendas físicas de Juan Maestro

Condiciones
Para hacer válido el descuento debes presentar en las tiendas Juan Maestro tu Tarjeta CuentaRUT, Tarjeta Débito o Tarjeta de Crédito. 

Tope de descuento $16.000.
No acumulable con otras promociones.
Excluye: Cupones App, Precios Salvatore, Salvatore Maestri, Lunes Maestro.
Aplica con
Tarjeta CuentaRUT, Tarjeta Débito o Tarjeta Crédito.

Vigencia
Valido desde 01 de Enero hasta el 31 de marzo del 2025.",BancoEstado
Barrio Chick´en,"30% de descuento todos los martes en las tiendas físicas de Barrio Chick´en

Condiciones
Para hacer válido el descuento debes presentar en las tiendas Barrio Chick´en tu Tarjeta CuentaRUT, Tarjeta de Débito o Tarjeta de Credito.

 Tope de descuento $16.000. 
No acumulable con otras promociones. 
Excluye: Cupones App, Los Cracks del Barrio, Las Promos del Barrio.
Aplica con
Tarjeta CuentaRUT, Tarjeta Débito o Tarjeta Crédito.

Vigencia
Valido desde 01 de Enero hasta el 31 de marzo del 2025.",BancoEstado
Doggis,"30% dto. todos los martes en las tiendas Doggis

Condiciones
Para hacer válido el descuento debes presentar en tiendas Doggis tu Tarjeta CuentaRUT, Tarjeta Débito o Tarjeta de Crédito. 

 Tope de descuento $16.000. 
No acumulable con otras promociones. 
Excluye: Cupones App, Appañazo, Ah Miércoles, Doggihours.
Aplica con
Tarjeta CuentaRUT, Tarjeta Débito o Tarjeta Crédito.

Vigencia
Valido desde 01 de Enero hasta el 31 de marzo del 2025",BancoEstado
Dr Pet - Mascotas,"20% de descuento todos los días martes en productos en  y consulta veterinaria. Despacho en 3 horas.

Condiciones
Para hacer válido el descuento debes crear tu cuenta en  al momento de pagar debes ingresar los 6 primeros números de tu Tarjeta de Debito o Crédito BancoEstado. 

Aplica con
Tarjeta de Débito o Crédito BancoEstado.

Vigencia
Vigencia desde el 01 de Enero al 31 de marzo de 2025, ambas fechas inclusive.",BancoEstado
Liola,"20% de descuento todos los días por compras en el sitio web  y en tiendas presenciales Liola.

Condiciones
Para hacer válido el descuento online, debes ingresar a la página web  y al momento de realizar tu compra debes ingresar cómo código de descuento BELIOLA durante el checkout antes de finalizar. Para tiendas presenciales debes presentar tu Tarjeta de Débito o Crédito BancoEstado.

Válido para artículos a precio normal.
No acumulable con otros descuentos y/o promociones vigentes, ya sean ofrecidos por la marca o por otras alianzas.
No aplicable en periodos de eventos especiales (CyberDay, Black Friday, etc.) donde el sitio tenga descuentos en la totalidad de sus productos. Si hubiera artículos aprecio normal durante los eventos, se podrá aplicar el beneficio.
No válido para cambios de productos.
Aplica con
Tarjetas de Débito y Crédito BancoEstado.

Vigencia
Desde 01 de diciembre del 2024 al 31 de marzo de 2025.",BancoEstado
Bata,"$5.000 descuento en tiendas presenciales y  válido para compra de un artículo por un precio superior o igual a $30.000

Condiciones
Para hacer válido el descuento debes: 

Generar tu código en , eligiendo la marca, ingresando tu e-mail, los 6 primeros números de tu Tarjeta BancoEstado y el canal en el cual vas a comprar (online o presencial).
El código de descuento será enviado a tu email. 
Para hacer efectivo el descuento, en los sitios web debes ingresar tu código antes de pagar y presencial debes mencionarlo antes de realizar el pago.
Valido por compra de un artículo por un precio superior o igual a $30.000.
Descuento no aplica para Cyber Day, Monday y Black Friday.
Aplica con
Tarjetas de Crédito y Débito BancoEstado.

Vigencia
Vigencia desde 13 de enero al 31 de diciembre de 2025.",BancoEstado
