Elemento,Descripcion,Banco
Marketplace Todos los días,"  Promoción válida desde el 01 al 31 de marzo del 2025, exclusiva para clientes que realicen compras con su Tarjeta de Crédito Scotiabank en la modalidad de hasta 12 cuotas en el Marketplace de Scotiabank www. scotiamarketplace .cl en moneda nacional. Promoción Cuotas Sin Interés condicionada al pago oportuno al vencimiento de cada cuota. Transacciones en Cuotas afectas al impuesto de timbres DL3475, de cargo del cliente. La transacción en el punto de venta podría visualizarse como ""venta con intereses"". Sin embargo, al procesar la transacción en el banco, esta se ejecutará sin intereses y así se reflejará en el próximo estado de cuenta. Se excluyen de esta promoción los clientes de Tarjetas de otra marca, Empresariales, Corporativas, Universales y Cencosud Scotiabank, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa Bex y Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. CAE: 1,47% Costo Total del Crédito: $1.007.920. Calculado por un monto de $1.000.000 en 12 cuotas, según cupo disponible de la Tarjeta de Crédito. La prestación de los servicios no bancarios ofrecidos son de exclusiva responsabilidad de la empresa que realiza la actividad, no cabiendo al banco la intervención alguna en su entrega o en la posterior atención que ellos demanden. Infórmese sobre la garantía estatal de los depósitos en su banco o en www. cmfchile .cl. No acumulable con otras promociones y/o convenios. Infórmese sobre las entidades autorizadas para emitir Tarjetas de Pago en el país, quienes se encuentran inscritas en los Registros de Emisores de Tarjetas que lleva la CMF, en www. cmfchile .cl",Banco ScotiaBank
Marketplace Todos los días,"  Promoción válida hasta el 31 de marzo de 2025. Promoción consiste en triple acumulación de Pesos Scotia pagando con Tarjetas de Crédito Scotiabank en el Marketplace de Scotiabank: scotiamarketplace .cl. El abono de los pesos Scotia asociados a la compra se verá reflejado dentro de los 7 días posteriores a la fecha de compra con la Tarjeta de Crédito Scotia y el abono adicional de Pesos Scotia por recibir el abono de remuneraciones en Scotia, se realizará como un único abono mensual al mes siguiente de realizada la compra. La acumulación máxima de Pesos Scotia durante la vigencia de la campaña será de 50.000 por compras en el Marketplace. Se excluyen de esta promoción las Tarjetas de Débito Scotiabank, Empresariales, Corporativas, Mastercard Business, Visa Business, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa BEX, Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. El pago con tarjeta de crédito puede tener costos asociados. Consulta con el emisor de la tarjeta para más información.",Banco ScotiaBank
Copec Todos los miércoles,"  Promoción válida todos los miércoles de marzo de 2025. Promoción consiste $50 Dcto. Por litro de combustible válido para Tarjeta de Crédito Visa Scotia Signature, $75 Dcto. Por litro de combustible válido para Tarjeta de Crédito Visa Scotia Infinite y $100 Dcto. Por litro de combustible para Tarjetas de Crédito Visa Scotia Singular y Wealth Management. Descuento se realizará pagando con Tarjetas de Crédito Visa Scotia indicadas, a través de la App Copec. Máximo 1 uso cada miércoles por cliente. Válido solo para compras con boleta. Se excluyen de esta promoción las Tarjetas de Débito Scotia, Tarjetas de Crédito Visa y Mastercard Scotia Gold, Platinum, Mastercard Black, Tarjetas Empresariales, Corporativas, Mastercard Business, Visa Business, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa Bex y Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. El pago con tarjetas de crédito puede tener costos asociados. Consulta con el emisor de la tarjeta para mayor información.",Banco ScotiaBank
Viajes Scotia Todos los días,"  Promoción válida hasta el 31 de marzo 2025. Promoción consiste en la Doble acumulación de Pesos Scotia pagando con Tarjetas de Crédito Visa Scotiabank en Minisitio Scotia by Despegar: Scotiabank.despegar.cl. Se excluyen de esta promoción las Tarjetas de Débito Scotia, Empresariales, Corporativas, Mastercard Business, Visa Business, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa BEX, Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. El pago con tarjeta de crédito puede tener costos asociados. Consulta con el emisor de la tarjeta para mayor información.",Banco ScotiaBank
Marketplace Scotiabank Todos los días,"  Promoción válida hasta el 31 de marzo de 2025 o hasta agotar stock, lo que ocurra primero. Promoción consiste en hasta 60% de descuento en el Marketplace de Scotiabank en el sitio web: www. scotiamarketplace .cl. El descuento se verá reflejado al precio final del producto. La oferta es de exclusiva responsabilidad del comercio. Se excluyen de esta promoción las Tarjetas Empresariales, Corporativas, Mastercard Business, Visa Business, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa Bex y Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. El producto será despachado solo a la dirección indicada por el cliente y puede tener costos asociados según la ubicación geográfica.. El despacho y los tiempos de este son de exclusiva responsabilidad de Celmedia SpA. En caso de reclamos, contactar a Celmedia SpA a través del siguiente correo: servicioalclientescotia @ celmedia .cl. Para más información de los productos disponibles y condiciones de despacho, ingresa a scotiamarketplace .cl",Banco ScotiaBank
Scotia Impulsando la Música Todos los días,"  Promoción consiste en un 20% Dcto. válido pagando con Tarjeta de Crédito o Débito Visa Scotia con un máximo de 4 tickets por Tarjeta. Los stocks de tickets con descuento son limitados y su cantidad varía según evento. El beneficio solo se hace efectivo accediendo al sitio web de la ticketera e ingresando a la casilla de Scotia debidamente identificada. Descuento se hará efectivo al momento del pago y no aplica sobre cargos por servicio ni es acumulable con otras ofertas, promociones, descuentos y/o convenios. Beneficio no es transferible. Se excluyen de esta promoción las Tarjetas Empresariales, Corporativas, Mastercard Business, Visa Business, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa BEX, Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. El pago con Tarjeta de Crédito puede tener costos asociados. Consulta con el emisor de la tarjeta para mayor información. ",Banco ScotiaBank
Pádel Sanhattan Todos los días," El descuento se hará efectivo al momento del pago.
No aplica sobre cargos por servicio ni es acumulable con otras ofertas, promociones, descuentos y/o convenios.
Beneficio no es transferible. Promoción válida todos los días de marzo 2025. Promoción consiste en un 20% Dcto. en la reserva de horas en Pádel Sanhattan. Pagando con Tarjetas de Débito o Crédito  Scotiabank. El beneficio se hace efectivo haciendo la reservación previa, a través de la App Pádel Sanhattan, en el sitio web o App de Easy Cancha. El descuento se hará efectivo al momento del pago y no aplica sobre cargos por servicio ni es acumulable con otras ofertas, promociones, descuentos y/o convenios. Beneficio no es transferible. Se excluyen de esta promoción las Tarjetas Empresariales, Corporativas, Mastercard Business, Visa Business, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa BEX, Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. El pago con Tarjeta de Crédito puede tener costos asociados. Consulta con el emisor de la tarjeta para mayor información. ",Banco ScotiaBank
Viajes Scotia by Despegar  Del 24 al 29," Los precios incluyen impuestos y cargos por servicios.
Equipaje según informado por la línea aérea en el proceso de compra.
Máximo una oferta por reserva y por dispositivo.
No transferible a terceros.
No canjeable por dinero en efectivo.
No reembolsable en caso de no uso o uso parcial, no redimible parcialmente, no admite devoluciones parciales.
Categoría de alojamientos, régimen de alimentación, inclusiones y exclusiones, según se informa en el proceso de búsqueda.
Las reprogramaciones pueden generar diferencias tarifarias.
Ver detalles de la política de flexibilidad de cada Proveedor y de fechas en el check out.
Tarifas no reembolsables, ni endosables, no acumulables con otras promociones, no se permiten cambios de fecha y los precios están sujetos a disponibilidad y a cambios con base a restricciones de cada proveedor informadas en el presente sitio web.
Las tarifas ofertadas no aplican para días feriados o festivos.
Stock compartido y distribuido entre los destinos y productos de la promoción.
La Tarjeta de Crédito con la que se efectúe la compra no podrá presentar ningún tipo de bloqueo, debe encontrarse en estado normal.
El banco es el emisor de los medios de pago a través de los cuales se puede acceder a los beneficios mencionados, por tanto, el banco será el responsable y encargado del producto financiero. ",Banco ScotiaBank
Cruz Verde Todos los lunes y jueves ," Aplica solo en compras en locales Cruz Verde exceptuando Isla de Pascua y Cerro Sombrero.
Máximo 4 unidades diarias y/o por boleta del mismo producto.
Se excluyen vacunas, medicamentos oncológicos, inmunológicos, medicina reproductiva, medicina veterinaria y/o cualquier otro producto comercializado por el centro de especialidades farmacéuticas CESFAR o similares.
Promoción válida solo en laboratorios adheridos.
Productos sujetos a reposición de cada local.
Excluye de la promoción pago con Apple Wallet y otras billeteras dígitales. 
Exclusivo para compras con Tarjetas Débito y/o Crédito Scotiabank físicas.
Un uso de cupón por cliente.
No acumulable con otras promociones y/o convenios. En caso de existir un descuento superior, se aplicará el más alto. Promoción válida todos los lunes y jueves de marzo 2025. Promoción consiste en un 25% Dcto. en medicamentos y vitaminas con tope mensual de 4 unidades diarias y/o por boleta del mismo producto y sujeto a restricciones sanitarias en la dispensación, exclusivamente para socios del Club Cruz Verde pagando el total de su boleta con sus Tarjetas de Débito y/o Crédito Scotiabank en locales Cruz Verde, salvo Isla de Pascua y Cerro Sombrero. No válido para pagos con Billeteras digitales. Válido para personas naturales consumidores finales, que registren su compra a través del Club. Promoción válida solo en laboratorios adheridos. Descuentos no acumulables entre sí ni respecto de otras ofertas, promociones, convenios y/o descuentos. Productos sujetos a reposición en cada local. Se excluyen vacunas, medicamentos oncológicos, inmunológicos, medicina reproductiva, medicina veterinaria y/o cualquier otro producto comercializado por el centro de especialidades farmacéuticas CESFAR o similares. Infórmate de productos adheridos, exclusiones y otras condiciones en bases legales protocolizadas en Notaría de Santiago de Francisco Javier Leiva C. y en www.cruzverde.cl. No se automedique, consulte a su médico y solicite orientación de su químico farmacéutico. Se excluyen de esta promoción las Tarjetas  Empresariales, Corporativas, Mastercard Business, Visa Business, Visa Enjoy, Visa Movistar, Visa Forum, Visa Congelada, Visa Crédito Express, Visa Bex y Tarjeta Universal, al igual que las Tarjetas de Crédito Cencosud Scotiabank, emitidas por su filial. El pago con tarjetas de crédito puede tener costos asociados. Consulta con el emisor de la tarjeta para más información.",Banco ScotiaBank
Hotel Boca Lago  Todos los días," Descuento no cumulable sobre otros descuentos o promociones.
Tope de $50.000 por cliente titular.  
Promoción válida para estadías de hasta el 31 de marzo de 2025. ",Banco ScotiaBank
